"Distribution x_1","Distribution x_2","DGP","Model","Effect Size Scenario","Transition","Model Type","Coefficient (true)","Coefficient (mean)","Coefficient (lower)","Coefficient (upper)","Bias (mean)","Bias (lower)","Bias (upper)","Coverage (mean)","Coverage (lower)","Coverage (upper)"
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM",NA,"Progression","$x_1$-only Model",1,0.683006733333333,0.3830825,0.9596525,-0.0836599333333334,-0.246405,0.0812724999999999,0.713333333333333,0.689713491095887,0.736114927761974
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM",NA,"Progression","Full Model",1,0.767026733333333,0.3966475,1.1180025,0.000360066666666652,-0.14132,0.1474675,0.938,0.924581428151059,0.949669729213785
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM",NA,"Progression Interaction","$x_1$-only Model",0,-0.0201433333333333,-0.17898,0.1366675,-0.0201433333333333,-0.17898,0.1366675,0.942,0.928946415216536,0.953286882932482
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM",NA,"Progression Interaction","Full Model",0,0.0020192,-0.1551,0.163115,0.0020192,-0.1551,0.163115,0.945333333333333,0.93259579336497,0.95628910363771
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Large","Onset","$x_1$-only Model",0.6,0.5328612,0.4318225,0.623555,-0.0671388,-0.1681775,0.023555,0.674,0.630974723141846,0.714952705659998
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Large","Onset","Full Model",0.6,0.6004794,0.5186075,0.6942025,0.000479400000000022,-0.0813925,0.0942025,0.952,0.92941920374267,0.969006831206495
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Large","Progression","$x_1$-only Model",0.6,0.4805986,0.3402125,0.6173875,-0.1194014,-0.2597875,0.0173875,0.644,0.600276004517336,0.686009857806374
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Large","Progression","Full Model",0.6,0.5979618,0.4475525,0.72723,-0.00203819999999998,-0.1524475,0.12723,0.958,0.936513059467081,0.973816423223853
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Large","Progression Interaction","$x_1$-only Model",0,-0.0522622,-0.211695,0.10993,-0.0522622,-0.211695,0.10993,0.884,0.852634261875208,0.910728044746141
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Large","Progression Interaction","Full Model",0,-0.002515,-0.1724575,0.1566575,-0.002515,-0.1724575,0.1566575,0.958,0.936513059467081,0.973816423223853
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Medium","Onset","$x_1$-only Model",0.4,0.3788958,0.2901,0.4771425,-0.0211042,-0.1099,0.0771424999999998,0.904,0.874735253436669,0.928367306024659
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Medium","Onset","Full Model",0.4,0.3940564,0.30135,0.486005,-0.00594360000000002,-0.09865,0.086005,0.952,0.92941920374267,0.969006831206495
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Medium","Progression","$x_1$-only Model",0.4,0.3577162,0.2472375,0.47997,-0.0422838,-0.1527625,0.0799699999999999,0.896,0.865859251577519,0.921348064725366
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Medium","Progression","Full Model",0.4,0.4002636,0.2732,0.525105,0.000263599999999978,-0.1268,0.125105,0.944,0.92007869939564,0.962469555524978
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Medium","Progression Interaction","$x_1$-only Model",0,-0.021182,-0.17853,0.1389875,-0.021182,-0.17853,0.1389875,0.938,0.913147402520899,0.957488938703615
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Medium","Progression Interaction","Full Model",0,0.0062038,-0.143025,0.1638675,0.0062038,-0.143025,0.1638675,0.952,0.92941920374267,0.969006831206495
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Small","Onset","$x_1$-only Model",0.2,0.1945412,0.0984475,0.2878725,-0.00545880000000001,-0.1015525,0.0878725,0.952,0.92941920374267,0.969006831206495
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Small","Onset","Full Model",0.2,0.200523,0.09974,0.2913875,0.000522999999999989,-0.10026,0.0913875,0.94,0.9154514462924,0.959155818237223
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Small","Progression","$x_1$-only Model",0.2,0.1947844,0.0722525,0.3179625,-0.00521560000000001,-0.1277475,0.1179625,0.964,0.943699823798209,0.978527143413907
"Bernoulli(0.5)","N(0,1)","MTS DGP","MTS PAM","Small","Progression","Full Model",0.2,0.2012342,0.0701975,0.3409025,0.00123419999999999,-0.1298025,0.1409025,0.944,0.92007869939564,0.962469555524978
